station,bufkit,valid,precip,stratum,cloud_base,cat,rap_date,rap_run,rap_fhr,rap_ok,sfc_tmpc,sfc_dwpc,freeze_ft,pwat_mm,cape,lclp_mb,lapse_3k,temp_beam_c,temp_base_c,dwpc_beam_c,rh_beam_pct,sat_deficit_c,cloud_phase,beam_vs_freeze,n_levels
HZL,kmpo,2026-03-16 09:55,0.01,light,300.0,beam_in_cloud,2026/03/16,0,9,True,7.14,6.99,8258,23.99,0.0,939.84,2.97,1.13,7.36,0.34,94.5,0.8,warm,bright_band,50
HZL,kmpo,2026-01-17 13:35,0.01,light,400.0,beam_in_cloud,2026/01/17,12,1,True,-5.56,-6.54,,11.11,0.0,932.03,2.03,-9.51,-5.96,-10.98,89.0,1.5,mixed,,50
HZL,kmpo,2026-01-09 19:15,0.01,light,1300.0,beam_in_cloud,2026/01/09,12,7,True,5.34,1.61,9883,22.99,0.0,895.92,1.46,2.76,4.52,0.18,83.1,2.6,warm,below_freeze,50
HZL,kmpo,2026-03-17 02:15,0.04,light,700.0,beam_in_cloud,2026/03/17,0,2,True,12.54,12.37,8139,27.67,12.7,921.73,5.14,1.24,11.79,0.48,94.7,0.8,warm,bright_band,50
HZL,kmpo,2026-01-26 08:15,0.01,light,,no_ceiling,2026/01/26,0,8,True,-9.86,-10.88,,10.87,0.0,919.16,-1.27,-4.96,,-6.53,88.7,1.6,mixed,,50
HZL,kmpo,2026-01-26 02:15,0.01,light,,no_ceiling,2026/01/26,0,2,True,-11.56,-13.46,,17.84,0.0,909.05,-3.21,-2.57,,-2.64,99.5,0.1,mixed,,50
HZL,kmpo,2026-03-11 23:35,0.05,moderate,3700.0,beam_in_cloud,2026/03/11,12,11,True,18.04,16.44,10491,32.08,404.92,917.29,5.67,4.74,10.92,1.8,81.2,2.9,warm,below_freeze,50
HZL,kmpo,2026-03-05 23:55,0.14,moderate,400.0,beam_in_cloud,2026/03/05,12,11,True,2.54,2.48,8290,26.38,0.0,952.12,1.43,1.73,2.13,1.6,99.1,0.1,warm,bright_band,50
HZL,kmpo,2026-03-05 11:55,0.08,moderate,300.0,beam_in_cloud,2026/03/05,0,11,True,4.14,3.99,6736,23.81,0.0,951.7,2.64,-0.9,6.44,-1.05,98.9,0.2,mixed,bright_band,50
HZL,kmpo,2026-03-27 01:35,0.13,moderate,4800.0,beam_in_cloud,2026/03/27,0,1,True,17.04,7.53,8965,25.3,0.0,813.44,6.22,2.03,8.11,0.95,92.5,1.1,warm,bright_band,50
HZL,kmpo,2026-03-05 10:55,0.05,moderate,300.0,beam_in_cloud,2026/03/05,0,10,True,4.04,3.88,6927,23.49,0.0,951.05,2.57,-0.61,6.39,-0.9,97.9,0.3,mixed,bright_band,50
HZL,kmpo,2026-03-21 01:55,0.07,moderate,500.0,beam_in_cloud,2026/03/21,0,1,True,7.84,6.79,4984,17.11,0.0,925.83,5.57,-5.14,7.54,-6.21,92.2,1.1,mixed,above_freeze,50
HZL,kmpo,2026-03-05 21:55,0.15,heavy,200.0,beam_in_cloud,2026/03/05,12,9,True,2.94,2.79,8311,24.34,0.0,950.39,1.54,1.68,2.67,0.84,94.1,0.8,warm,bright_band,50
HZL,kmpo,2026-03-27 02:35,0.23,heavy,4000.0,beam_in_cloud,2026/03/27,0,2,True,16.74,8.98,9618,27.25,0.0,834.68,5.71,2.42,9.42,0.81,89.1,1.6,warm,below_freeze,50
