station,valid,date,precip_in,cloud_base_ft,beam_ft,best_radar,cat,temp_f_sfc,dwpf_sfc,vsby,temp_at_beam_c,temp_at_base_c,freezing_ft,pw_mm,lapse_3k,cloud_phase,beam_vs_freeze
HZL,2026-01-01 09:15,2026-01-01,0.01,,7429,KBGM,no_ceiling,23.0,21.2,1.0,-13.61,,,7.5,6.05,mixed,
THV,2026-01-01 09:23,2026-01-01,0.01,1500.0,5874,KLWX,beam_in_cloud,28.0,23.0,2.0,-10.59,-4.6,,7.5,6.05,mixed,
THV,2026-01-01 09:25,2026-01-01,0.01,1700.0,5874,KLWX,beam_in_cloud,28.0,23.0,3.0,-10.59,-5.15,,7.5,6.05,mixed,
HZL,2026-01-01 09:35,2026-01-01,0.01,,7429,KBGM,no_ceiling,23.0,21.2,0.75,-13.61,,,7.5,6.05,mixed,
N79,2026-01-01 09:35,2026-01-01,0.01,,5431,KDIX,no_ceiling,23.5,22.0,1.25,-10.77,,,7.5,6.05,mixed,
THV,2026-01-01 09:53,2026-01-01,0.01,3700.0,5874,KLWX,beam_in_cloud,27.0,21.0,6.0,-10.59,-9.54,,7.5,6.05,mixed,
HZL,2026-01-01 09:55,2026-01-01,0.01,,7429,KBGM,no_ceiling,21.2,17.6,0.5,-13.61,,,7.5,6.05,mixed,
SEG,2026-01-07 03:27,2026-01-07,0.03,1400.0,6608,KCCX,beam_in_cloud,37.0,34.0,4.0,0.85,7.77,6910,15.3,2.08,warm,bright_band
SEG,2026-01-07 03:53,2026-01-07,0.04,1400.0,6608,KCCX,beam_in_cloud,38.0,36.0,3.0,0.85,7.77,6910,15.3,2.08,warm,bright_band
N79,2026-01-07 03:55,2026-01-07,0.01,,5431,KDIX,no_ceiling,37.6,37.0,5.0,4.14,,6910,15.3,2.08,warm,bright_band
MUI,2026-01-07 03:55,2026-01-07,0.01,1100.0,9189,KCCX,beam_in_cloud,37.4,37.0,7.0,0.76,6.62,6910,15.3,2.08,warm,above_freeze
HZL,2026-01-07 04:15,2026-01-07,0.01,200.0,7429,KBGM,beam_in_cloud,33.8,33.8,1.0,-1.27,7.0,6910,15.3,2.08,mixed,above_freeze
N79,2026-01-07 04:15,2026-01-07,0.02,,5431,KDIX,no_ceiling,37.2,37.0,4.0,4.14,,6910,15.3,2.08,warm,bright_band
HZL,2026-01-07 04:35,2026-01-07,0.02,200.0,7429,KBGM,beam_in_cloud,35.6,33.8,2.5,-1.27,7.0,6910,15.3,2.08,mixed,above_freeze
N79,2026-01-07 04:35,2026-01-07,0.02,,5431,KDIX,no_ceiling,37.4,37.4,6.0,4.14,,6910,15.3,2.08,warm,bright_band
HZL,2026-01-07 04:55,2026-01-07,0.03,200.0,7429,KBGM,beam_in_cloud,35.6,33.8,4.0,-1.27,7.0,6910,15.3,2.08,mixed,above_freeze
N79,2026-01-09 18:35,2026-01-09,0.01,1600.0,5431,KDIX,beam_in_cloud,44.4,41.5,5.0,3.68,6.63,11682,19.3,-0.5,warm,below_freeze
SEG,2026-01-09 18:53,2026-01-09,0.04,2000.0,6608,KCCX,beam_in_cloud,44.0,41.0,5.0,6.48,7.43,11682,19.3,-0.5,warm,below_freeze
CXY,2026-01-09 18:56,2026-01-09,0.01,1800.0,8413,KLWX,beam_in_cloud,46.0,41.0,4.0,7.47,6.98,11682,19.3,-0.5,warm,below_freeze
HZL,2026-01-09 19:15,2026-01-09,0.01,1300.0,7429,KBGM,beam_in_cloud,41.0,35.6,5.0,8.53,6.22,11682,19.3,-0.5,warm,below_freeze
ZER,2026-01-09 19:15,2026-01-09,0.04,700.0,8582,KCCX,beam_in_cloud,37.4,37.4,1.75,7.16,5.5,11682,19.3,-0.5,warm,below_freeze
N79,2026-01-09 19:15,2026-01-09,0.02,,5431,KDIX,no_ceiling,44.4,43.0,5.0,3.68,,11682,19.3,-0.5,warm,below_freeze
HZL,2026-01-09 19:35,2026-01-09,0.04,1100.0,7429,KBGM,beam_in_cloud,41.0,35.6,2.5,8.53,6.01,11682,19.3,-0.5,warm,below_freeze
ZER,2026-01-09 19:35,2026-01-09,0.08,300.0,8582,KCCX,beam_in_cloud,37.4,37.4,1.25,7.16,5.45,11682,19.3,-0.5,warm,below_freeze
N79,2026-01-09 19:35,2026-01-09,0.03,,5431,KDIX,no_ceiling,44.2,43.0,9.0,3.68,,11682,19.3,-0.5,warm,below_freeze
CXY,2026-01-09 19:39,2026-01-09,0.03,1300.0,8413,KLWX,beam_in_cloud,45.0,42.0,4.0,7.47,6.22,11682,19.3,-0.5,warm,below_freeze
RDG,2026-01-09 19:44,2026-01-09,0.01,1700.0,7642,KDIX,beam_in_cloud,48.0,41.0,2.5,8.1,6.81,11682,19.3,-0.5,warm,below_freeze
MDT,2026-01-09 19:46,2026-01-09,0.03,1300.0,8493,KLWX,beam_in_cloud,45.0,43.0,3.0,7.32,6.22,11682,19.3,-0.5,warm,below_freeze
RDG,2026-01-09 19:52,2026-01-09,0.01,1600.0,7642,KDIX,beam_in_cloud,48.2,42.8,6.0,8.1,6.63,11682,19.3,-0.5,warm,below_freeze
