sounding_key,station,valid,n_levels,sfc_tmpc,sfc_dwpc,freeze_ft_agl,pw_mm
IAD_2026-01-01T00:00:00Z,IAD,2026-01-01T00:00:00Z,162,2.0,-7.0,896,9.3
OKX_2026-01-01T00:00:00Z,OKX,2026-01-01T00:00:00Z,220,-2.5,-8.5,,5.9
IAD_2026-01-01T12:00:00Z,IAD,2026-01-01T12:00:00Z,102,-0.3,-4.5,,7.5
OKX_2026-01-01T12:00:00Z,OKX,2026-01-01T12:00:00Z,128,0.0,-0.4,0,7.3
IAD_2026-01-02T00:00:00Z,IAD,2026-01-02T00:00:00Z,154,-2.3,-17.3,,5.3
OKX_2026-01-02T00:00:00Z,OKX,2026-01-02T00:00:00Z,199,-5.3,-16.3,,2.0
IAD_2026-01-02T12:00:00Z,IAD,2026-01-02T12:00:00Z,169,-2.7,-13.7,,8.4
OKX_2026-01-02T12:00:00Z,OKX,2026-01-02T12:00:00Z,145,-6.9,-9.6,,5.1
IAD_2026-01-03T00:00:00Z,IAD,2026-01-03T00:00:00Z,172,1.4,-7.6,901,7.7
OKX_2026-01-03T00:00:00Z,OKX,2026-01-03T00:00:00Z,193,-2.3,-10.3,,3.2
IAD_2026-01-03T12:00:00Z,IAD,2026-01-03T12:00:00Z,161,-3.1,-9.1,,7.4
OKX_2026-01-03T12:00:00Z,OKX,2026-01-03T12:00:00Z,210,-7.5,-11.8,,4.0
IAD_2026-01-04T00:00:00Z,IAD,2026-01-04T00:00:00Z,77,1.4,-7.6,419,12.1
OKX_2026-01-04T00:00:00Z,OKX,2026-01-04T00:00:00Z,199,-3.9,-8.9,,7.2
IAD_2026-01-04T12:00:00Z,IAD,2026-01-04T12:00:00Z,85,-0.3,-9.3,,7.6
OKX_2026-01-04T12:00:00Z,OKX,2026-01-04T12:00:00Z,231,-3.3,-7.2,,8.2
IAD_2026-01-05T00:00:00Z,IAD,2026-01-05T00:00:00Z,95,2.6,-6.4,1232,6.7
